Map,Level,Algorithm,Status,Step,Time (s),Memory (MB)
MINI COSMOS,1,BFS,Completed,37,0.88,5.152
MINI COSMOS,2,BFS,Completed,60,8.436,25.266
MINI COSMOS,3,BFS,Completed,69,21.44,43.746
MINI COSMOS,4,BFS,Completed,71,3.308,16.562
MINI COSMOS,5,BFS,Completed,104,100.669,104
MINI COSMOS,6,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,7,BFS,Completed,61,61.414,64.344
MINI COSMOS,8,BFS,Completed,93,541.425,245.996
MINI COSMOS,9,BFS,Completed,85,18.098,39.527
MINI COSMOS,10,BFS,Completed,102,96.712,108.039
MINI COSMOS,11,BFS,Completed,74,83.193,75.941
MINI COSMOS,12,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,13,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,14,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,15,BFS,Completed,82,85.741,58.98
MINI COSMOS,16,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,17,BFS,Completed,65,40.677,44.141
MINI COSMOS,18,BFS,Completed,110,327.115,176.391
MINI COSMOS,19,BFS,Completed,72,107.485,70.551
MINI COSMOS,20,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,21,BFS,Completed,71,106.663,84.062
MINI COSMOS,22,BFS,Completed,99,563.312,238.844
MINI COSMOS,23,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,24,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,25,BFS,Completed,81,103.782,98.523
MINI COSMOS,26,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,27,BFS,Completed,103,189.141,108.586
MINI COSMOS,28,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,29,BFS,Completed,58,66.835,47.934
MINI COSMOS,30,BFS,Time Limit Exceeded,???,???,??? 
MINI COSMOS,31,BFS,Completed,74,5.299,3.523
MINI COSMOS,32,BFS,Completed,91,5.333,15.051
MINI COSMOS,33,BFS,Completed,94,119.352,108.891
MINI COSMOS,34,BFS,Completed,101,190.001,150.047
MINI COSMOS,35,BFS,Completed,88,11.425,6.312
MINI COSMOS,36,BFS,Completed,72,41.315,34.953
MINI COSMOS,37,BFS,Completed,96,48.753,42.805
MINI COSMOS,38,BFS,Completed,50,53.754,33.449
MINI COSMOS,39,BFS,Completed,100,432.078,196.258
MINI COSMOS,40,BFS,Completed,84,50.147,47.477
MICRO COSMOS,1,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,2,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,3,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,4,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,5,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,6,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,7,BFS,Completed,110,282.284,182.164
MICRO COSMOS,8,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,9,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,10,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,11,BFS,Time Limit Exceeded,???,???,???
MICRO COSMOS,12,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,13,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,14,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,15,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,16,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,17,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,18,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,19,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,20,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,21,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,22,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,23,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,24,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,25,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,26,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,27,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,28,BFS,Completed,73,39.424,25.711
MICRO COSMOS,29,BFS,Completed,83,92.91,67.016
MICRO COSMOS,30,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,31,BFS,Completed,101,469.546,221.066
MICRO COSMOS,32,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,33,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,34,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,35,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,36,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,37,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,38,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,39,BFS,Time Limit Exceeded,???,???,??? 
MICRO COSMOS,40,BFS,Time Limit Exceeded,???,???,??? 
